Date,Time,Type,Option_Strike,Option_Entry_Price,Option_Current_Price,Status,Points_P&L,Rupees_P&L,Spot_Reference
2026-09-07,07:06:26,NIFTY 23700 CE,23700,192.05,192.05,OPEN,0.0,0.0,23772.05
2026-09-08,00:03:28,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-09,00:25:40,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-10,00:16:04,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-11,00:09:37,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-12,00:24:16,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-13,00:00:42,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-14,00:01:25,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-15,00:22:08,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-16,00:23:58,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-17,00:06:37,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-18,00:00:31,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-19,00:23:07,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-20,00:03:14,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-21,00:09:45,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-22,00:09:47,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-23,00:06:17,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-24,00:03:33,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
2026-09-25,00:05:22,NIFTY 23700 CE,23700,147.5,147.5,OPEN,0.0,0.0,23772.05
